node_id,lat,lon,location,"lat,lon"
6009981690,5.6447232,-0.1852199,,"5.6447232,-0.1852199"
6720802900,5.6467264,-0.1969826,,"5.6467264,-0.1969826"
6720802901,5.6463963,-0.1961211,,"5.6463963,-0.1961211"
3425614058,5.6566572,-0.1825617,,"5.6566572,-0.1825617"
6009981693,5.6468518,-0.1866319,,"5.6468518,-0.1866319"
6009981694,5.6468532,-0.1867439,,"5.6468532,-0.1867439"
1986177701,5.6544211,-0.18501,,"5.6544211,-0.18501"
3425614057,5.656709,-0.1883022,,"5.656709,-0.1883022"
7730792450,5.6567745,-0.1906809,,"5.6567745,-0.1906809"
6720802908,5.6462762,-0.1953854,,"5.6462762,-0.1953854"
7730792448,5.653356,-0.1822668,Institute for Enovironment and Sanitation Studies,"5.653356,-0.1822668"
6720802907,5.6465929,-0.1962387,,"5.6465929,-0.1962387"
6009981687,5.6447097,-0.1860855,,"5.6447097,-0.1860855"
3425614079,5.6573459,-0.1870086,,"5.6573459,-0.1870086"
3425614076,5.6570905,-0.1814312,,"5.6570905,-0.1814312"
3425614074,5.65703,-0.1823537,Pent Block A,"5.65703,-0.1823537"
3425614072,5.6569461,-0.1864102,,"5.6569461,-0.1864102"
3425614073,5.6569743,-0.1869842,,"5.6569743,-0.1869842"
6009981664,5.6466975,-0.187426,SRC Union Building,"5.6466975,-0.187426"
3425614068,5.6568566,-0.1802639,,"5.6568566,-0.1802639"
4007365121,5.6561775,-0.1885982,,"5.6561775,-0.1885982"
4007365120,5.6544928,-0.1870846,N Block,"5.6544928,-0.1870846"
10718606905,5.6475512,-0.1890908,,"5.6475512,-0.1890908"
10718606910,5.6477274,-0.1890899,,"5.6477274,-0.1890899"
4007365124,5.6567089,-0.1899888,,"5.6567089,-0.1899888"
1986177667,5.648372,-0.1829374,,"5.648372,-0.1829374"
6009981660,5.6467518,-0.1886491,Legon Hall Annex B,"5.6467518,-0.1886491"
5990516213,5.6499948,-0.1813938,,"5.6499948,-0.1813938"
1986177671,5.6505492,-0.1823917,,"5.6505492,-0.1823917"
3595142831,5.6437243,-0.1877715,,"5.6437243,-0.1877715"
6009981648,5.6476085,-0.1857785,,"5.6476085,-0.1857785"
6761617390,5.6499945,-0.1914155,JoePharma Pharmacy,"5.6499945,-0.1914155"
1986177672,5.6507114,-0.1824132,,"5.6507114,-0.1824132"
5889956858,5.6506327,-0.1809063,,"5.6506327,-0.1809063"
1986177673,5.6507138,-0.1837238,,"5.6507138,-0.1837238"
3425614021,5.6548983,-0.1824857,The Kuffour Centre For Leadership and Governance,"5.6548983,-0.1824857"
5889956859,5.6506372,-0.1812323,,"5.6506372,-0.1812323"
6009981651,5.6473657,-0.1857831,Akuafo Hall Annex,"5.6473657,-0.1857831"
6761617388,5.6500486,-0.1911615,,"5.6500486,-0.1911615"
1986177678,5.6532669,-0.1834678,,"5.6532669,-0.1834678"
5889956860,5.6508091,-0.1813547,,"5.6508091,-0.1813547"
6009981652,5.6477835,-0.1857752,Akuafo Hall Annex A,"5.6477835,-0.1857752"
6593312785,5.6513361,-0.1824768,African Studies Department,"5.6513361,-0.1824768"
3425614017,5.6547334,-0.1846607,,"5.6547334,-0.1846607"
6009981655,5.6472576,-0.1875214,,"5.6472576,-0.1875214"
3595142841,5.646715,-0.185839,,"5.646715,-0.185839"
2826898573,5.65327,-0.1862184,Department of Plant and Environmental Biology,"5.65327,-0.1862184"
1986177681,5.6532572,-0.1824931,,"5.6532572,-0.1824931"
2826898572,5.6532616,-0.187841,Department of Animal Biology and Conservation Science,"5.6532616,-0.187841"
6009981643,5.6493933,-0.1834873,,"5.6493933,-0.1834873"
1986177686,5.6535402,-0.1834674,,"5.6535402,-0.1834674"
6720802914,5.6464816,-0.195513,,"5.6464816,-0.195513"
1986177684,5.6535363,-0.1824954,,"5.6535363,-0.1824954"
6009981632,5.6493903,-0.1840921,Agric Science Extension,"5.6493903,-0.1840921"
1986177691,5.6539765,-0.1849552,,"5.6539765,-0.1849552"
1986177688,5.6539291,-0.1824952,,"5.6539291,-0.1824952"
1159581159,5.6520343,-0.1925291,,"5.6520343,-0.1925291"
6009981635,5.6490786,-0.1834922,,"5.6490786,-0.1834922"
